2026-09-02 10:13:07 RESULT prepare OK 備稿完成（明天要寄的課）
2026-09-02 10:54:32 RESULT prepare SKIP outbox 已備妥
2026-09-02 10:57:33 RESULT prepare SKIP outbox 已備妥
2026-09-02 11:23:19 RESULT prepare SKIP outbox 已備妥
2026-09-02 11:35:29 RESULT prepare SKIP outbox 已備妥
2026-09-02 11:45:52 RESULT prepare SKIP outbox 已備妥
2026-09-02 11:48:53 RESULT prepare SKIP outbox 已備妥
2026-09-02 12:00:09 RESULT prepare SKIP outbox 已備妥
2026-09-02 12:21:16 RESULT prepare SKIP outbox 已備妥
2026-09-02 13:59:34 RESULT prepare SKIP outbox 已備妥
2026-09-02 14:02:10 RESULT prepare SKIP outbox 已備妥
2026-09-02 14:05:14 RESULT prepare SKIP outbox 已備妥
2026-09-02 14:13:17 RESULT prepare SKIP outbox 已備妥
2026-09-02 14:16:18 RESULT prepare SKIP outbox 已備妥
2026-09-02 14:45:32 RESULT prepare SKIP outbox 已備妥
2026-09-02 15:56:54 RESULT prepare SKIP outbox 已備妥
2026-09-02 16:10:50 RESULT prepare SKIP outbox 已備妥
2026-09-02 16:13:49 RESULT prepare SKIP outbox 已備妥
2026-09-02 16:31:32 RESULT prepare SKIP outbox 已備妥
2026-09-02 16:34:32 RESULT prepare SKIP outbox 已備妥
2026-09-02 16:37:33 RESULT prepare SKIP outbox 已備妥
2026-09-02 16:59:11 RESULT prepare FAIL 網路未就緒
